record_id,title,authors,year,venue,doi,source_database,preprint,fulltext_files,fulltext_available
R0419,Research on optimizing network intrusion detection using deep learning and big data in intelligent elderly care,Dai Huiying,2026,Computer Standards & Interfaces,10.1016/j.csi.2026.104136,ScienceDirect,Yes,R0419_MJX44SMS.pdf,Yes
R0444,AIDA: A health informatics-oriented adaptive cybersecurity framework for clinically aware detection and response in healthcare,Mostafa Rahmany,2026,Informatics and Health,10.1016/j.infoh.2026.03.001,ScienceDirect,Yes,R0444_4CRCNWDA.pdf,Yes
R0446,An Auto Encoder-Enhanced Stacked Ensemble for Intrusion Detection in Healthcare Networks,Fatma S. Alrayes and Mohammed Zakariah and Mohammed K. Alzaylaee and Syed Umar Amin and Zafar Iqbal Khan,2025,"Computers, Materials and Continua",10.32604/cmc.2025.068599,ScienceDirect,Yes,R0446_M6Z8RCPA.pdf,Yes
R0457,A Fuzzy-Based Duo-Secure Multi-Modal Framework for IoMT Anomaly Detection,Shiraz Ali Wagan and Jahwan Koo and Isma Farah Siddiqui and Nawab Muhammad Faseeh Qureshi and Muhammad Attique and Dong,2023,Journal of King Saud University - Computer and Information Sciences,10.1016/j.jksuci.2022.11.007,ScienceDirect,Yes,R0457_XXU8ZQZA.pdf,Yes
R0479,Future-Proofing CIA Triad with Authentication for Healthcare: Integrating Hybrid Architecture of ML & DL with IDPS for Robust IoMT Security,Saad Awadh Alanazi and Fahad Ahmad,2025,"Computers, Materials and Continua",10.32604/cmc.2025.066753,ScienceDirect,Yes,R0479_9VVMBLGM.pdf; R0479_X5QVICDS.pdf,Yes
R0483,Meta-Fed IDS: Meta-learning and Federated learning based fog-cloud approach to detect known and zero-day cyber attacks in IoMT networks,Umer Zukaib and Xiaohui Cui and Chengliang Zheng and Dong Liang and Salah Ud Din,2024,Journal of Parallel and Distributed Computing,10.1016/j.jpdc.2024.104934,ScienceDirect,Yes,R0483_QL34RS6W.pdf,Yes
R0491,A hybrid lightweight feature extraction assisted ensemble approach for intrusion detection with ESMOTE-based class imbalance handling in IoT networks,T. Ammannamma and ASN Chakravarthy,2026,Computers and Electrical Engineering,10.1016/j.compeleceng.2025.110846,ScienceDirect,Yes,R0491_ZXTIWN69.pdf,Yes
R0495,GEMLIDS-MIOT: A Green Effective Machine Learning Intrusion Detection System based on Federated Learning for Medical IoT network security hardening,Iacovos Ioannou and Prabagarane Nagaradjane and Pelin Angin and Palaniappan Balasubramanian and Karthick Jeyagopal Kavit,2024,Computer Communications,10.1016/j.comcom.2024.02.023,ScienceDirect,Yes,R0495_LJIE6RGC.pdf,Yes
R0531,Spatial–temporal graph neural network with autoencoder pretraining for intrusion detection in healthcare IoT ecosystems,Md Iftekhar Monzur TanvirNusrat Yasmin NadiaHabibor Rahman RabbyMd Habibul ArifKamruddin NurDebasish Ghose,2026,Scientific Reports,10.1038/s41598-026-45041-y,SpringerLink,Yes,R0531_AA3GMFI2.pdf; R0531_KI6CJIUK.pdf,Yes
R0555,Smart defense based on explainable stacked machine learning architecture for securing internet of health things with K-means clustering,Tanzila SabaAmjad RehmanMuhammad MujahidAmal Al-RasheedShaha Al-OtaibiAbdallah Yousif,2025,Scientific Reports,10.1038/s41598-025-21032-3,SpringerLink,Yes,R0555_NESR7GKI.pdf,Yes
R0571,Blockchain-Based intrusion detection system for IoMT utilizing an enhanced artificial bee colony (E-ABC) and deep belief network (DBN),Augusta Kani GAnurekha GBharathi NAAncy Micheal A,2026,Peer-to-Peer Networking and Applications,10.1007/s12083-025-02108-3,SpringerLink,Yes,R0571_WD7GNXVV.pdf,Yes
R0639,A hybrid blockchain based deep learning model for multivector attack detection in internet of things enabled healthcare systems,Sudhakar SenganChin-Shiuh ShiehMong-Fong Horng,2026,Scientific Reports,10.1038/s41598-026-40765-3,SpringerLink,Yes,R0639_KZUQZTYY.pdf,Yes
R0696,"Hybrid deep learning-enabled framework for enhancing security, data integrity, and operational performance in Healthcare Internet of Things (H-IoT) en",Nithesh NaikNeha SurendranathSai Annamaiah Basava RajuChennaiah MadduriNagaraju DasariVinod Kumar ShuklaVathsala Patil,2025,Scientific Reports,10.1038/s41598-025-15292-2,SpringerLink,Yes,R0696_PT2S7ATK.pdf; R0696_ZVCFZ4TW.pdf,Yes
R0736,Dynamic Weighted K-Asynchronous Federated Learning for Privacy-Preserving Intrusion Detection in Wireless Body Area Networks,Soufiane Ben OthmanDarren M. Kennedy,2026,Cognitive Computation,10.1007/s12559-026-10610-w,SpringerLink,Yes,R0736_XETJ9MDB.pdf,Yes
R0753,A power-efficient layered MIoT framework for real-time ECG anomaly detection and sensor fault classification based on hierarchical THECF and hybrid in,Hossein KhezripourSaadat Pour MozaffariHouman Zarrabi,2026,Scientific Reports,10.1038/s41598-026-49593-x,SpringerLink,Yes,R0753_GCRMIHY2.pdf,Yes
R0779,Securing healthcare data in mobile edge computing: a hybrid deep learning framework for privacy and anomaly detection,Anandh Sam Chandra BoseM. EliazerB. Uma MaheswariA. SivaneshkumarM. SumithraShamimul Qamar,2025,Knowledge and Information Systems,10.1007/s10115-025-02586-0,SpringerLink,Yes,R0779_I4Q59ZG6.pdf,Yes
R0791,A lightweight trusted framework for secure data exchange and threat mitigation in IoT-enabled healthcare environments,Pramit Kumar SamantVinay PathakWakar AhmadAbdulatif Alabdultif,2025,Scientific Reports,10.1038/s41598-025-22797-3,SpringerLink,Yes,R0791_9CLFMTVK.pdf,Yes
R0804,Enhancing IoMT edge security through federated small language models and knowledge-defined networks,Ahmed Raoof Tawfeeq Al-HasaniAli BroumandniaHamid Haj Seyyed Javadi,2026,The Journal of Supercomputing,10.1007/s11227-026-08661-9,SpringerLink,Yes,R0804_65TNSA2Z.pdf,Yes
R0957,Blockchain and deep learning for improving impenetrable data passage in the IoT-imbued healthcare system,Isaac Osei AsanteLibing Wu,2025,Cluster Computing,10.1007/s10586-025-05398-7,SpringerLink,Yes,R0957_5S2R6RQW.pdf,Yes
R1070,Intrusion Detection Method Based on Stacked Sparse Autoencoder and Sliced GRU for Connected Healthcare Systems,Zhaoyang GuLiangliang WangJinguo LiMi WenYuping Liu,2023,Arabian Journal for Science and Engineering,10.1007/s13369-022-07079-8,SpringerLink,Yes,R1070_ECBACPND.pdf,Yes
R1508,A Hierarchical IDS for Zero-Day Attack Detection in Internet of Medical Things Networks,"Md Ashraf Uddin, Nam H. Chu, Reza Rafeh",2025,arXiv (preprint),,arXiv,Yes,R1508_ML75WFL2.pdf,Yes
R1516,Intelligent Fusion: A Resilient Anomaly Detection Framework for IoMT Health Devices,"Flavio Pastore, Raja Waseem Anwar, Nafaa Hadi Jabeur, Saqib Ali",2026,Information,,OpenAlex,Yes,R1516_FD94LNAH.pdf,Yes
R1520,TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT Networks,"Parkavi S, Saravanan V, Sangeetha A, Abiramikayathiri S, Ramkumar M P, Emil Selvan G S R **(less)**",2026,None,10.1109/icicv68925.2026.11554662,OpenAlex,Yes,R1520_U492WDZL.pdf,Yes
R1528,Resilient Cloud Architectures with AI Agents for Enhancing Cybersecurity in Health Information Systems,"Anjan Gundaboina, Abhilash K S",2025,None,10.1109/iceca66444.2025.11383493,OpenAlex,Yes,R1528_R72X9EJQ.pdf,Yes
