ID,Title,Year,Architecture Type,Stages,Unsupervised Components,Supervised Components,Integration Mechanism,Anomaly Role,Genuine Hybrid,Zero-day Support,Output Type,Objective
R0444,AIDA: A health informatics-oriented adaptive cybersecurity framework for clinically aware detection and response in heal,2026,ensemble,not reported,Autoencoder,"Random Forest, XGBoost","The paper describes a hybrid anomaly-detection stack built from Random Forest, Autoencoder, and XGBoost models within the Awareness pillar, with multi-objective optimization (NSGA-II) balancing their outputs. The specific mechanism of how Autoencoder output feeds into supervised components is not explicitly detailed.",Unclear,Unclear,Partial,not reported,"To introduce AIDA as a clinically aware, health informatics-oriented adaptive cybersecurity framework that integrates continuous monitoring, real-time alert correlation, optimized detection logic, and clinically aware response adaptation for healthcare information environments."
R0446,An Auto Encoder-Enhanced Stacked Ensemble for Intrusion Detection in Healthcare Networks,2025,two-stage,2,Deep Autoencoder,"TabNet, LightGBM, Gaussian Naive Bayes, Histogram-Based Gradient Boosting, Logistic Regression, XGBoost (meta-learner)",feature-augmentation — autoencoder performs feature enhancement/compression to create latent representations that are then used as input features for the base classifiers in the stacked ensemble,additional_feature,Unclear — autoencoder is used for feature extraction/enhancement rather than anomaly detection feeding into supervised classification; it compresses features but does not explicitly generate anomaly scores that trigger or filter inputs to classifiers,No,binary,To present an Auto Encoder Enhanced Stacked Ensemble (AESE) model called Auto-Stack ID for improving intrusion detection in healthcare networks by combining unsupervised learning from autoencoders with robust classification from stacked ensemble methods.
R0457,A Fuzzy-Based Duo-Secure Multi-Modal Framework for IoMT Anomaly Detection,2023,two-stage,2,Fuzzy C-Means clustering,Bi-LSTM,"feature-augmentation — Fuzzy C-Means performs feature extraction and clustering, producing cluster centers that are then passed to Bi-LSTM for classification",additional_feature,Yes,No,binary,To propose a Duo-Secure IoMT framework that uses multi-modal sensory signals' data to differentiate attack patterns and routine IoMT devices' data using dynamic Fuzzy C-Means clustering with customized Bi-LSTM technique.
R0479,Future-Proofing CIA Triad with Authentication for Healthcare: Integrating Hybrid Architecture of ML & DL with IDPS for R,2025,two-stage,2,Autoencoder,"Decision Trees, Linear SVM, Logistic Regression, Logistic Regression with SGD, Naïve Bayes, AdaBoost, Extreme Gradient Boosting, Gradient Boosting Classifier, Random Forest, Bagging, CNN, GRU, LSTM, CNN+AE, GRU+CNN, AE+GRU, AE+LSTM","sequential-pipeline: ML algorithms analyse PGHD for signs of anomalies functioning as a fast and efficient filter, then DL models conduct deeper context-aware analysis to confirm and classify the threat",filter,Unclear,No,multiclass,To develop and evaluate a hierarchical ML & DL-based IDPS framework integrating CIA triad and authentication principles for securing Patient-Generated Health Data in IoMT environments.
R0483,Meta-Fed IDS: Meta-learning and Federated learning based fog-cloud approach to detect known and zero-day cyber attacks i,2024,multi-stage,multi,['Agglomerative Clustering'],"['Decision Tree', 'Random Forest', 'AdaBoost', 'Extra Trees', 'XGBoost']",Sequential pipeline,Filter/gate,Yes,Yes,Binary + attack class,
R0491,A hybrid lightweight feature extraction assisted ensemble approach for intrusion detection with ESMOTE-based class imbal,2026,multi-stage,multi,Gated Recurrent Autoencoder (SLGRAE-ENet),"Random Forest, AdaBoost, XGBoost",Ensemble vote,not reported,Yes,No,Binary (normal/attack),
R0495,GEMLIDS-MIOT: A Green Effective Machine Learning Intrusion Detection System based on Federated Learning for Medical IoT,2024,two-stage,3,One-Class SVM,Enhanced Random Forest,"Sequential pipeline where first stage classifies known attacks, second stage detects unknown attacks as anomalies using One-Class SVM, and when anomalies are identified the classification model is retrained with new attack records",classification_trigger,Yes,Yes,multiclass,"To develop a power-efficient Intrusion Detection System for Medical IoT networks that classifies known attacks using Enhanced Random Forest, detects unknown attacks using One-Class SVM, and updates models across gateways using Federated Learning."
R0531,Spatial–temporal graph neural network with autoencoder pretraining for intrusion detection in healthcare IoT ecosystems,2026,two-stage,2,Graph Autoencoder (GAE) with GCN-based encoder,"Spatial-Temporal GNN (GCN layers + GRU layers), Fully Connected Classifier",feature-augmentation — autoencoder pretraining generates latent embeddings that initialize and enhance feature representations for the supervised spatial-temporal GNN classification stage,additional_feature,Yes,Partial,both,To propose a Spatial-Temporal Graph Neural Network with Autoencoder Pretraining (ST-GNN+AE) for intrusion detection in healthcare IoT ecosystems that jointly models device-level interactions and temporal dynamics while enhancing representation quality through unsupervised pretraining.
R0555,Smart defense based on explainable stacked machine learning architecture for securing internet of health things with K-m,2025,ensemble,2,KMeans clustering,"Random Forest, KNN, XGBoost, Random Forest (meta-learner)",feature-augmentation — KMeans cluster labels are appended as an additional feature to enrich the input space before feeding into the stacking classifier,additional_feature,Yes,No,multiclass,"To present Smart Defence-IoHT, a novel stacked architecture enhanced with KMeans clustering to effectively detect and classify multi-class cyber threats within IoT-based healthcare networks using the ECU-IoHT dataset."
R0571,Blockchain-Based intrusion detection system for IoMT utilizing an enhanced artificial bee colony (E-ABC) and deep belief,2026,cascade,2,Variational Autoencoder,Naive Bayes,Sequential pipeline,Filter/gate,Yes,No,Multi-class,
R0639,A hybrid blockchain based deep learning model for multivector attack detection in internet of things enabled healthcare,2026,parallel,3,Deep Sparse Autoencoder (DSAE),"Bidirectional Long Short-Term Memory (BiLSTM), CNN classifier for BFA, RL agent for MiTM, hybrid RF + MLP for DDoS","feature-augmentation — DSAE extracts compact latent features from heterogeneous network traffic which are then fed into parallel BiLSTM and attack-specific detector modules, with results combined via Bayesian Product-of-Experts fusion",additional_feature,Yes,No,multiclass,To develop a hybrid model combining Blockchain and Deep Learning-based Intrusion Detection Systems to address complex security problems in IoT-enabled healthcare systems through integrated distributed trust management and improved multi-vector attack detection.
R0696,"Hybrid deep learning-enabled framework for enhancing security, data integrity, and operational performance in Healthcare",2025,multi-stage,4,Variational Autoencoder (VAE),"Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM)","parallel-vote — CNN detects spatial anomalies, LSTM identifies temporal patterns, VAE reconstructs signals and identifies tampering through reconstruction loss, all outputs feed into Trust-Aware Adaptive Controller (TAC) for aggregate decision-making",parallel_mechanism,Yes,No,multiclass,"To propose a trust-aware hybrid framework integrating CNN, LSTM, and VAE models to analyze spatial, temporal, and latent characteristics of physiological signals for anomaly detection, data integrity, and adaptive access control in Healthcare IoT environments."
R0736,Dynamic Weighted K-Asynchronous Federated Learning for Privacy-Preserving Intrusion Detection in Wireless Body Area Netw,2026,two-stage,2,VAE-based Bio-Anomaly Fusion Layer,hybrid CNN-LSTM,feature-augmentation — VAE-based reconstruction error (physiological anomaly correlation) is used as a component of the trust-aware weighting score and fused loss function to enhance the CNN-LSTM classifier,additional_feature,Yes,Partial,multiclass,"To propose DW-KAFL, a Dynamic Weighted K-Asynchronous Federated Learning framework for secure, efficient, and privacy-preserving intrusion detection in Wireless Body Area Networks."
R0753,A power-efficient layered MIoT framework for real-time ECG anomaly detection and sensor fault classification based on hi,2026,two-stage,2,HGAN (Hybrid Generative Adversarial Network),"SVM, Decision Tree, CNN","filter — first-stage HGAN-SVM-DT detects abnormal ECG signals at edge, only anomalous signals are transmitted to upper layers where CNN classifies arrhythmias",filter,Yes,No,multiclass,"To propose a novel layered architecture for automated detection and classification of cardiac abnormalities from ECG signals within Medical Internet of Things (MIoT) environments, reducing network transmission energy consumption by performing signal processing at the edge layer and forwarding only abnormal data to higher layers for precise classification."
R0779,Securing healthcare data in mobile edge computing: a hybrid deep learning framework for privacy and anomaly detection,2025,two-stage,2,"Stochastic Vector Autoencoder (SVAE), Generative Adversarial Network (GAN)","Naïve Bayes, Support Vector Machine (SVM), Adaline Stochastic Gradient Descent (Adaline SGD), Vector Autoregressor (VAR), XGBoost, Deep Q-learning Network","ensemble vote - outputs from multiple classifiers (Adaline SGD, SVM, Naïve Bayes, VAR) and GAN discriminator score are integrated using a majority voting mechanism",ensemble_vote,Yes,No,binary,To propose a lightweight differential extreme gradient reinforcement neural network with stochastic vector autoencoder-based adversarial Bayes convolutional regression (LDExGRNN_SVA-AdBCR) method for privacy preservation and anomaly detection in mobile edge computing healthcare environments.
R0791,A lightweight trusted framework for secure data exchange and threat mitigation in IoT-enabled healthcare environments,2025,multi-stage,3,VAE,"LSTM, SVM","The paper states RHADS combines LSTM, VAE, and SVM with probabilistic reasoning to detect sophisticated attacks, but the specific integration mechanism between unsupervised and supervised components is not explicitly detailed",Unclear - paper mentions VAE as part of hybrid system but does not explicitly describe how anomaly detection output feeds into classification,Unclear,No,not reported,"To propose SecHealth, a lightweight trusted framework for secure data exchange and proactive threat mitigation in IoT-enabled healthcare systems, integrating multi-layered trust management, lightweight ECC-based encryption (LECCEP-A), and a robust hybrid anomaly detection system (RHADS)."
R0804,Enhancing IoMT edge security through federated small language models and knowledge-defined networks,2026,federated,3,,"TinyBERT, DistilBERT",Sequential pipeline,Filter/gate,No,No,Binary (normal/attack),
R0957,Blockchain and deep learning for improving impenetrable data passage in the IoT-imbued healthcare system,2025,two-stage,2,Deep Variational Autoencoder,Bidirectional LSTM,Sequential pipeline,Standalone,Yes,No,Multi-class,
R1070,Intrusion Detection Method Based on Stacked Sparse Autoencoder and Sliced GRU for Connected Healthcare Systems,2023,sequential-pipeline,2,stacked sparse autoencoder (sSAE),sliced gated recurrent unit (SGRU) with softmax classifier,"The sSAE performs unsupervised dimensionality reduction and feature extraction on preprocessed traffic data, and the reduced-dimensional features are then input to SGRU networks for supervised classification",feature-augmentation,Unclear,No,multiclass,"To design an intrusion detection method suitable for connected healthcare systems that is real-time and lightweight, using stacked sparse autoencoder (sSAE) for dimensionality reduction and sliced gated recurrent unit (SGRU) for efficient parallel classification."
R1508,A Hierarchical IDS for Zero-Day Attack Detection in Internet of Medical Things Networks,2025,multi-stage,3,usfAD-based OCC,"Decision Tree, Random Forest, AdaBoost, Naive Bayes, MLP, XGBoost, supervised classifiers for attack categories","filter — Near Edge anomaly detection filters traffic as normal or attack, then Far Edge OCC determines known vs unknown, then Cloud supervised classifiers categorize known attacks",filter,Yes,Yes,multiclass,To propose a novel hierarchical intrusion detection system for IoMT networks that can detect zero-day attacks and differentiate between known and unknown attacks using meta-learning or One Class Classification (OCC) based on the usfAD algorithm.
R1516,Intelligent Fusion: A Resilient Anomaly Detection Framework for IoMT Health Devices,2026,parallel,2,LSTM autoencoder,XGBoost,parallel-vote — outputs from security module (attack probability score) and physiological module (anomaly score) are combined in a calibrated fusion decision layer with a lightweight fusion classifier,parallel_mechanism,Yes,No,multiclass,"To propose and evaluate a hybrid fusion framework for robust, context-aware anomaly detection in IoMT environments that distinguishes between security incidents, sensor malfunctions, and physiological deterioration through context-aware fusion."
R1520,TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT Networks,2026,parallel,3,Autoencoder,"1D-CNN, BiGRU, Dense output layer with Sigmoid/Softmax","parallel-vote — three parallel streams (1D-CNN for spatial features, BiGRU for temporal features, Autoencoder for latent anomaly detection) are fused through Multi-Head Attention Mechanism that performs adaptive importance weighting",parallel_mechanism,"Unclear — Autoencoder learns latent representation of normal behavior and runs in parallel with supervised components, but its output is fused via attention rather than explicitly filtering or triggering the supervised stage",No,both,"To propose TRIDENT-NET, a multi-stream intrusion detection framework integrating 1D-CNN, BiGRU, and Autoencoder through a dynamic Multi-Head Attention Mechanism for securing IoMT networks against cyberattacks."
R1528,Resilient Cloud Architectures with AI Agents for Enhancing Cybersecurity in Health Information Systems,2025,two-stage,2,Isolation Forest,XGBoost,"filter — Isolation Forest assigns anomaly scores and instances below threshold τ are flagged as suspicious, remaining traffic (scores ≥ τ) is passed to XGBoost for classification",filter,Yes,No,multiclass,To design a hybrid framework integrating an Isolation Forest for anomaly detection with XGBoost for supervised intrusion classification to provide a layered defense against cyberattacks in healthcare information systems.
