record_id,source_database,search_date,is_preprint,title,authors,year,venue,doi,url,content_type,phase1_identified,phase2_dedup_status,phase3_title_decision,phase3_title_reason,abstract_source,phase4_abstract_decision,phase4_abstract_reason,phase4_ic_met,phase4_ec_triggered,phase5_fulltext_decision,phase5_ec_triggered,phase5_decision_reviewed,phase5_fulltext_reason,phase6_qa_total_score,phase6_qa_meets_threshold,phase7_final_decision
R1070,SpringerLink,2026-07-06,False,Intrusion Detection Method Based on Stacked Sparse Autoencoder and Sliced GRU for Connected Healthcare Systems,Zhaoyang GuLiangliang WangJinguo LiMi WenYuping Liu,2023,Arabian Journal for Science and Engineering,10.1007/s13369-022-07079-8,https://link.springer.com/article/10.1007/s13369-022-07079-8,Article,Yes,Unique,Passed,,Springer,Uncertain,The paper proposes a hybrid IDS for connected healthcare systems combining unsupervised dimensionality reduction via stacked sparse autoencoder with supervised classification using sliced GRU networks.,"IC1, IC2, IC3",,Excluded,EC3,Accepted,"Satisfies: IC1, IC2, IC3, IC4, IC5, IC6. This is a genuine hybrid IDS under your protocol. The architecture is a true two-stage cascade: stacked sparse autoencoder (sSAE) — an unsupervised component trained via reconstruction loss (MSE + KL-divergence sparsity penalty, no labels used) — performs dimensionality reduction/feature extraction, feeding into sliced GRU (SGRU), a supervised multi-class classifier trained with cross-entropy loss against ground-truth labels (Normal/Flooding/Injection/Impersonation, softmax output).",2.5,yes,Accepted
R1520,OpenAlex,2026-07-06,False,TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT Networks,"Parkavi S, Saravanan V, Sangeetha A, Abiramikayathiri S, Ramkumar M P, Emil Selvan G S R **(less)**",2026,,10.1109/icicv68925.2026.11554662,https://openalex.org/works/w7164540235,article,Yes,Unique,Passed,,OpenAlex,Accepted,The paper proposes TRIDENT-NET for IoMT intrusion detection that combines an unsupervised Autoencoder with supervised components (1D-CNN and BiGRU) through multi-head attention fusion.,"IC1, IC2, IC3",,Excluded,EC3,Accepted,"Included. The paper proposes TRIDENT-NET, an IoMT-specific parallel hybrid intrusion-detection framework combining three feature-learning streams: a supervised 1D-CNN for spatial attack patterns, a supervised BiGRU for temporal dependencies, and an autoencoder intended to learn latent representations of normal traffic and identify structural or zero-day anomalies. The three outputs are fused through a Multi-Head Attention mechanism and passed to a dense classifier for binary or multiclass attack prediction. The architecture therefore combines an unsupervised representation/anomaly component with supervised classification components in a multi-stream ensemble design, satisfying IC3. It is evaluated as a primary study on CICIoMT2024, ECU-IoHT, and WUSTL-EHMS. However, the paper does not clearly report the autoencoder’s separate training procedure, reconstruction loss, benign-only training set, or anomaly threshold; this methodological ambiguity should be recorded during quality assessment.",5.5,yes,Accepted
R0177,IEEE Xplore,2026-07-06,False,A Multi-Stage Learning Framework for Detecting Known and Novel Attacks in the Internet of Medical Things,"Alfageer, Razan and Ghaleb, Mustafa and Aljoby, Walid and Felemban, Muhamad",2026,IEEE Access,10.1109/access.2026.3677553,https://doi.org/10.1109/access.2026.3677553,article,Yes,Unique,Passed,,,Accepted,"The paper proposes a multi-stage IDS for IoMT that combines unsupervised anomaly detection (autoencoder with reconstruction error) with supervised classification (Random Forest, XGBoost, CNN) in a cascaded architecture.","IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a multi-stage hybrid IDS for IoMT combining a benign-trained Auto-Encoder (unsupervised anomaly screening) with hierarchical supervised classifiers (Random Forest, XGBoost, lightweight CNN) and validates on CICIoMT2024, satisfying all inclusion criteria.",5.0,yes,Accepted
R0204,IEEE Xplore,2026-07-06,False,Adaptive Anomaly Detection in IoT-Connected Healthcare Wearables Using a Combined Random Forest and K-Means Model,"P, Radhakrishnan and B.Saravanan and Ravi Kumar, S. and Vanitha, P and Akanksha, Akanksha and S, Vinayagam",2025,2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),10.1109/gcat66372.2025.11368352,https://doi.org/10.1109/gcat66372.2025.11368352,inproceedings,Yes,Unique,Passed,,,Uncertain,"The paper proposes a hybrid KMeans++-RF system for anomaly detection in IoT healthcare wearables, combining unsupervised clustering (KMeans++) with supervised classification (Random Forest) in an ensemble approach.","IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a hybrid two-stage anomaly detection system for IoT healthcare wearables combining K-Means++ clustering (unsupervised) with Random Forest classifier (supervised) in an ensemble architecture, achieving 97.56% accuracy on healthcare IoT data.",2.5,yes,Accepted
R0214,Scopus,2026-07-06,False,A Unified AI Framework for Confidentiality Preserving Cyberattack Detection in Healthcare Cyber Physical Networks,"Praveen, Surapaneni Phani and Kamalrudin, Massila and Musa, Mustafa and Harita, Udayasankar and Ayyappa, Yalanati and Nagamani, Tenali",2025,International Journal of Innovative Technology and Interdisciplinary Sciences,10.15157/ijitis.2025.8.3.818-841,https://www.scopus.com/pages/publications/105020723835?origin=resultslist,article,Yes,Unique,Passed,,,Accepted,"The paper proposes a hybrid IDS for healthcare cyber-physical systems that explicitly combines unsupervised methods (Autoencoder, Isolation Forest) with supervised classifiers (SVM, RF) in a fusion architecture for intrusion detection in healthcare networks.","IC1, IC2, IC3",,Included,,Accepted,IC3 adjudication confirmed: genuine hybrid pipeline,5.0,yes,Accepted
R0392,ScienceDirect,2026-07-06,False,A privacy-aware framework for detecting cyber attacks on internet of medical things systems using data fusion and quantum deep learning,Muna Al-Hawawreh and M. Shamim Hossain,2023,Information Fusion,10.1016/j.inffus.2023.101889,https://www.sciencedirect.com/science/article/pii/S1566253523002051,article,Yes,Unique,Passed,,,Accepted,The paper addresses IoMT cyber attack detection using a hybrid architecture combining unsupervised deep contractive autoencoder for data fusion with quantum neural network for supervised attack classification.,"IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a hybrid architecture for IoMT intrusion detection combining a deep contractive autoencoder (unsupervised, for data fusion and dimensionality reduction) with a quantum deep neural network (supervised, for attack classification) in a multi-stage pipeline.",4.5,yes,Accepted
R0419,ScienceDirect,2026-07-06,False,Research on optimizing network intrusion detection using deep learning and big data in intelligent elderly care,Dai Huiying,2026,Computer Standards & Interfaces,10.1016/j.csi.2026.104136,https://www.sciencedirect.com/science/article/pii/S0920548926000103,article,Yes,Unique,Passed,,,Uncertain,"The paper addresses intelligent elderly care IoT (IC1), proposes an intrusion detection system (IC2), and mentions autoencoders alongside supervised deep learning models, but it is unclear from the abstract whether the autoencoder performs unsupervised anomaly detection in a cascade/two-stage architecture or merely serves as one base learner in a purely supervised ensemble.","IC1, IC2",,Included,,Accepted,IC3 adjudication confirmed: genuine hybrid pipeline,4.0,yes,Accepted
R0457,ScienceDirect,2026-07-06,False,A Fuzzy-Based Duo-Secure Multi-Modal Framework for IoMT Anomaly Detection,Shiraz Ali Wagan and Jahwan Koo and Isma Farah Siddiqui and Nawab Muhammad Faseeh Qureshi and Muhammad Attique and Dong Ryeol Shin,2023,Journal of King Saud University - Computer and Information Sciences,10.1016/j.jksuci.2022.11.007,https://www.sciencedirect.com/science/article/pii/S1319157822004050,article,Yes,Unique,Passed,,,Uncertain,"The paper addresses IoMT anomaly detection using Fuzzy C-Means clustering (unsupervised) and Bi-LSTM (supervised), but the abstract does not clearly confirm whether these operate in a cascade/two-stage hybrid architecture or as separate parallel models.","IC1, IC2",,Included,,Accepted,The paper proposes a hybrid IoMT anomaly detection framework combining unsupervised Fuzzy C-Means clustering with supervised Bi-LSTM in a multi-modal architecture for intrusion detection in healthcare networks.,3.0,yes,Accepted
R0495,ScienceDirect,2026-07-06,False,GEMLIDS-MIOT: A Green Effective Machine Learning Intrusion Detection System based on Federated Learning for Medical IoT network security hardening,Iacovos Ioannou and Prabagarane Nagaradjane and Pelin Angin and Palaniappan Balasubramanian and Karthick Jeyagopal Kavitha and Palani Murugan and Vasos Vassiliou,2024,Computer Communications,10.1016/j.comcom.2024.02.023,https://www.sciencedirect.com/science/article/pii/S0140366424000793,article,Yes,Unique,Passed,,,Uncertain,The paper proposes a hybrid IDS for Medical IoT combining supervised classification (Enhanced Random Forest) with unsupervised anomaly detection (One-Class SVM) in a multi-stage architecture.,"IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a hybrid two-stage IDS for Medical IoT: Stage 1 uses Enhanced Random Forest (supervised) for attack classification, Stage 2 uses One-Class SVM (unsupervised) for anomaly detection of unknown attacks, combined with Federated Learning for model updates.",5.5,yes,Accepted
R0531,SpringerLink,2026-07-06,False,Spatial–temporal graph neural network with autoencoder pretraining for intrusion detection in healthcare IoT ecosystems,Md Iftekhar Monzur TanvirNusrat Yasmin NadiaHabibor Rahman RabbyMd Habibul ArifKamruddin NurDebasish Ghose,2026,Scientific Reports,10.1038/s41598-026-45041-y,https://link.springer.com/article/10.1038/s41598-026-45041-y,Article,Yes,Unique,Passed,,OpenAlex,Uncertain,"The paper addresses healthcare IoT intrusion detection using autoencoder-based unsupervised pretraining followed by a spatial-temporal GNN for supervised classification, meeting all inclusion criteria.","IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a two-stage hybrid architecture combining autoencoder-based unsupervised pretraining for feature representation learning followed by a supervised spatial-temporal GNN for classification, applied to healthcare IoT intrusion detection.",6.0,yes,Accepted
R0639,SpringerLink,2026-07-06,False,A hybrid blockchain based deep learning model for multivector attack detection in internet of things enabled healthcare systems,Sudhakar SenganChin-Shiuh ShiehMong-Fong Horng,2026,Scientific Reports,10.1038/s41598-026-40765-3,https://link.springer.com/article/10.1038/s41598-026-40765-3,Article,Yes,Unique,Passed,,OpenAlex,Uncertain,"The paper addresses IoT-enabled healthcare systems (IC1), proposes an intrusion detection system for multiple attack types (IC2), and explicitly combines unsupervised Deep Sparse Autoencoder for feature extraction with supervised BiLSTM for temporal classification in a hybrid architecture (IC3).","IC1, IC2, IC3",,Included,,Accepted,"The paper proposes a hybrid IDS for IoT-enabled healthcare systems combining an unsupervised Deep Sparse Autoencoder (DSAE) for feature extraction with supervised BiLSTM and other classifiers in a multi-stage architecture, satisfying all inclusion criteria.",5.0,yes,Accepted
