ID,Title,Datasets,Dataset Type,IoMT Specific,# DS,Cross-DS Validation,Per-device Eval.,Unknown Attack Eval.,Operational Metrics,FPR Clinical,XAI Present,Code Available,Baselines Compared,Patient Safety,Reported Metrics,Best Result,Limitations (authors)
R0753,A power-efficient layered MIoT framework for real-time ECG anomaly detection and sensor fault classi,MIT-BIH arrhythmia database,public-benchmark,No,1,No,No,No,Yes,No,Yes,not reported,Yes,Yes,"accuracy, recall, F1-score","First-stage abnormality detection: Accuracy 99.7996%, Recall 99.88%, F1-score 99.83%; Second-stage arrhythmia classification: Accuracy 99.56%, Recall 98.97%, F1-score 99.23% on MIT-BIH",not reported
R0779,Securing healthcare data in mobile edge computing: a hybrid deep learning framework for privacy and,"UQVS dataset, Parkinson dataset, Pima Indians diabetes database, MIT-BIH arrhythmia dataset, BIDMC Congestive Heart Failure Database",public-benchmark,Yes,5,Yes,No,No,No,No,No,not reported,Yes,No,"privacy rate, prediction accuracy, scalability, F1-score","Privacy rate 98.1%, Prediction accuracy 98.75%, Scalability 98.3%, F1-score 98.34%",not reported
R0791,A lightweight trusted framework for secure data exchange and threat mitigation in IoT-enabled health,MATLAB-based simulated healthcare IoT network,simulated,Yes,1,No,Yes,No,Yes,No,No,not reported,Yes,Yes,"accuracy, FPR, latency, energy efficiency, throughput","Anomaly detection accuracy of 98.1%, FPR of 2.1%, latency of 85-95 ms, energy efficiency of 0.68-0.78 J/node, throughput of 155-180 Kbps",not reported
R0804,Enhancing IoMT edge security through federated small language models and knowledge-defined networks,CIC IoMT Dataset 2024,IoMT-specific,Yes,1,No,No,No,Yes,No,Yes,No,Yes,Yes,"Accuracy, Precision, Recall, F1-score, Latency, Throughput, Packet loss, Telemetry overhead, Energy consumption, Memory usage",Accuracy 95.1%,"Limited real-world evaluations, potential resource constraints for ultra-low-power devices, lack of fully distributed KDN, and limited interpretability requiring future explainability improvements."
R0957,Blockchain and deep learning for improving impenetrable data passage in the IoT-imbued healthcare sy,"ToN-IoT,CICIDS-2017",Public benchmark,No,2,No,No,No,Partially,No,No,No,Yes,Yes,"Accuracy,Precision,Recall,F1 score,False Alarm Rate,Transaction latency,Gas price,Storage cost","F1 up to 99.75%, Accuracy 99.06%","Hardware constraints for ZKP/BI-LSTM offloading, regulatory compliance with GDPR/HIPAA, energy consumption, and infrastructure costs"
R1070,Intrusion Detection Method Based on Stacked Sparse Autoencoder and Sliced GRU for Connected Healthca,AWID,public-benchmark,No,1,No,No,No,Yes,No,No,not reported,Yes,Yes,"F1-score, detection time, model size, accuracy","F1-score 2-5% higher than existing schemes, detection time 5-13 times shorter, model size at least 4 times smaller",not reported
R1508,A Hierarchical IDS for Zero-Day Attack Detection in Internet of Medical Things Networks,CICIoMT2024,public-benchmark,Yes,1,No,No,Yes,No,No,No,not reported,Yes,Yes,"accuracy, F1",Accuracy 99.77% and F1-score 97.8% on CICIoMT2024,not reported
R1516,Intelligent Fusion: A Resilient Anomaly Detection Framework for IoMT Health Devices,"CICIoMT2024, MIMIC-IV",mixed,Yes,2,No,No,No,Yes,No,Yes,not reported,not reported,Yes,"accuracy, MCC, latency","Accuracy 99.76% under prudent calibration, MCC 0.995","Clinical severity labels are operationalised through rule-based proxies, and cross-domain fusion relies on harmonised alignment assumptions. These aspects should be further evaluated using realistic fault traces and prospective IoMT data."
R1520,TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT N,"CICIoMT2024, ECU-IoHT, WUSTL-EHMS",public-benchmark,Yes,3,No,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1-Score",Binary classification accuracy 99.57% and multi-class classification accuracy 98.34% on CICIoMT2024,"It has a major limitation in the computational burden of operating three simultaneous deep-learning streams, which puts direct use on severely resource-limited medical end sensors."
R1528,Resilient Cloud Architectures with AI Agents for Enhancing Cybersecurity in Health Information Syste,CIC IoMT 2024,public-benchmark,Yes,1,No,No,No,No,No,No,not reported,Yes,No,"accuracy, precision, recall, F1, AUC","Accuracy 98.48%, Precision 99.23%, Recall 98.85%, F1-score 99.04%, AUC 0.99 on CIC IoMT 2024",not reported
