ID,Title,Unsupervised Detail,Supervised Detail,Threshold Strategy,Granularity,Feature Type,Explainability,Deployment Target,Latency,Memory,Energy,FPR,Patient Safety,Federated Learning
R0457,A Fuzzy-Based Duo-Secure Multi-Modal Framework for IoMT Anomaly Detection,Fuzzy C-Means clustering,Bi-LSTM,not reported,not reported,mixed,not reported,not reported,not reported,not reported,not reported,not reported,Yes,No
R0479,Future-Proofing CIA Triad with Authentication for Healthcare: Integrating Hybrid Architecture of ML,AE,"CNN, GRU, LSTM, XGBoost, Random Forest, Decision Trees, SVM, Logistic Regression, Naïve Bayes, AdaBoost, Gradient Boosting, Bagging",not reported,not reported,mixed,not reported,fog,not reported,not reported,not reported,not reported,No,No
R0483,Meta-Fed IDS: Meta-learning and Federated learning based fog-cloud approach to detect known and zero,Agglomerative Clustering optimized by BO-TPE,"Base learners: Decision Tree, Random Forest, AdaBoost, Extra Trees (HPO via Hampy Shark Optimization); Meta-learner: XGBoost (HPO via BO-TPE)",Fixed/cross-val,Global,Flow-based,Feature importance,Fog,No,No,No,No,No,Yes
R0491,A hybrid lightweight feature extraction assisted ensemble approach for intrusion detection with ESMO,"Semi-skipping Layered Gated Recurrent Autoencoder combined with EfficientNet-B0: 3 GRU layers (2 standard, 1 semi-skipping), 128 hidden units, latent dim 64, dropout 0.2, ReLU/tanh activations, Adam lr=0.001, reconstruction loss","Ensemble of Random Forest (bagged trees), AdaBoost, XGBoost with majority voting (default hyperparams)",not reported,Global,Flow-based,SHAP,Edge,Yes,Yes,No,Yes,No,No
R0495,GEMLIDS-MIOT: A Green Effective Machine Learning Intrusion Detection System based on Federated Learn,One-Class SVM,Enhanced Random Forest (ensemble random forest),not reported,per-gateway,flow-based,not reported,gateway,not reported,reported as comparative metric across models,reported as power consumption comparison across models,not reported,No,Yes
R0531,Spatial–temporal graph neural network with autoencoder pretraining for intrusion detection in health,Graph Autoencoder (GAE) with GCN encoder and inner-product decoder,GCN (Graph Convolutional Network) + GRU,fixed,per-device,flow-based,None,not reported,not reported,not reported,not reported,not reported,Yes,No
R0555,Smart defense based on explainable stacked machine learning architecture for securing internet of he,K-Means,"RF, KNN, XGBoost (base learners), RF (meta-learner)",not reported,global,flow-based,"SHAP, LIME",not reported,not reported,not reported,not reported,not reported,Yes,No
R0571,Blockchain-Based intrusion detection system for IoMT utilizing an enhanced artificial bee colony (E-,Variational Autoencoder (Encoder+Decoder) with reconstruction loss,Naive Bayes classifier (no hyperparameters reported),not reported,Per-flow,Flow-based,none,Edge,No,No,No,Yes,No,Yes
R0639,A hybrid blockchain based deep learning model for multivector attack detection in internet of things,Deep Sparse Autoencoder (DSAE),"BiLSTM, CNN, RF, MLP, RL agent",not reported,not reported,flow-based,None,fog,less than 16 ms,not reported,not reported,not reported,Yes,No
R0696,"Hybrid deep learning-enabled framework for enhancing security, data integrity, and operational perfo",VAE,"CNN, LSTM",adaptive,per-device,physiological,not reported,edge,under 160 ms,not reported,not reported,not reported,Yes,No
R0736,Dynamic Weighted K-Asynchronous Federated Learning for Privacy-Preserving Intrusion Detection in Wir,VAE,CNN-LSTM,not reported,per-device,mixed,not reported,edge,28% reduction in convergence latency compared to synchronous baselines,not reported,35% reduction in communication energy,not reported,Yes,Yes
R0753,A power-efficient layered MIoT framework for real-time ECG anomaly detection and sensor fault classi,GAN — Hybrid GAN (HGAN) incorporating SVM and DT mechanisms within GAN framework,"SVM, Decision Tree (DT), CNN",not reported,not reported,physiological — ECG signals converted to 2D representations using differential signal-to-image conversion technique,interpretability-by-design — DT provides transparent and interpretable decision rules,edge,not reported,not reported,85.2% energy reduction compared to benchmark edge-based systems,not reported,Yes,No
R0779,Securing healthcare data in mobile edge computing: a hybrid deep learning framework for privacy and,"Stochastic Vector Autoencoder (SVAE), GAN","XGBoost, Deep Q-learning Network, Naïve Bayes, SVM, Adaline SGD, VAR",not reported,not reported,physiological,None,edge,not reported,not reported,not reported,not reported,No,No
R0791,A lightweight trusted framework for secure data exchange and threat mitigation in IoT-enabled health,VAE,"LSTM, SVM",not reported,per-device,mixed,not reported,gateway,85-95 ms,not reported,0.68-0.78 J/node,2.1%,Yes,No
R0804,Enhancing IoMT edge security through federated small language models and knowledge-defined networks,not reported,"TinyBERT and DistilBERT Transformer-based encoders, sequence length 64, distilled variants",Adaptive/EVT,Per-device-type,Mixed,Attention,Edge,Yes,Yes,Yes,No,Yes,Yes
R0957,Blockchain and deep learning for improving impenetrable data passage in the IoT-imbued healthcare sy,"DVAE with 4-layer encoder (64,32,16,10 nodes, ELU, L2 1e-5) and 4-layer decoder (10,16,32,64 nodes, ELU/sigmoid, L2 1e-5); loss: categorical crossentropy; optimizer: Adam; epochs:100; batch size:50","Bidirectional LSTM with two hidden layers (100 and 50 units, tanh activations, dropout 0.2), loss: categorical_crossentropy, optimizer: Adam, epochs:20, batch size:50",not reported,Global,Flow-based,none,not reported,No,No,No,Yes,Yes,No
R1070,Intrusion Detection Method Based on Stacked Sparse Autoencoder and Sliced GRU for Connected Healthca,stacked sparse autoencoder (sSAE) - multiple layers of sparse autoencoders with KL divergence sparsity constraint,sliced GRU (SGRU) - parallel structured GRU networks with softmax classifier,not reported,global,flow-based,None,not reported,detection time is 5-13 times shorter than other solutions,model size is smaller than the size of other models by at least 4 times,not reported,not reported,Yes,No
R1508,A Hierarchical IDS for Zero-Day Attack Detection in Internet of Medical Things Networks,usfAD-based OCC,"RF, MLP, XGBoost, Decision Tree, AdaBoost, Naive Bayes",not reported,per-layer,flow-based,None,mixed,not reported,not reported,not reported,not reported,Yes,No
R1516,Intelligent Fusion: A Resilient Anomaly Detection Framework for IoMT Health Devices,LSTM autoencoder,XGBoost,calibrated — class-specific probability thresholds selected on a dedicated calibration split under prudent safety-oriented constraints,not reported,mixed,SHAP,edge,"84.69 ms average, p95 upper bound 107.30 ms",not reported,not reported,not reported,Yes,No
R1520,TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT N,AE — Deep Autoencoder for latent anomaly detection trained to reconstruct normal traffic patterns,"1D-CNN, BiGRU",not reported,global,flow-based,None,edge,not reported,not reported,not reported,not reported,Yes,No
R1528,Resilient Cloud Architectures with AI Agents for Enhancing Cybersecurity in Health Information Syste,Isolation Forest,XGBoost,fixed,global,flow-based,None,cloud,not reported,not reported,not reported,not reported,No,No
